,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-01-06,87.2931,88.7849,86.5472,87.6611,84.7266,1866298,0.0000,1.0
2022-01-05,87.6213,88.3971,87.492,87.7904,84.8516,1795238,0.0000,1.0
2022-01-04,89.2126,89.2723,87.0047,87.5915,84.6593,1995141,0.0000,1.0
2022-01-03,88.1782,89.0833,88.0987,88.8446,85.8705,1271543,0.0000,1.0
2021-12-31,88.1584,88.4766,87.8302,88.0987,85.1496,530833,0.0000,1.0
2021-12-30,88.3573,89.0634,88.1882,88.6457,85.6783,1124620,0.0000,1.0
2021-12-29,88.407,88.7452,88.0191,88.3175,85.361,886793,0.0000,1.0
2021-12-28,88.1683,88.8943,88.049,88.3971,85.4379,878085,0.0000,1.0
2021-12-27,87.3329,88.3075,86.9748,88.0887,85.1399,862326,0.0000,1.0
2021-12-24,87.4025,87.5616,87.134,87.3826,84.4574,249579,0.0000,1.0
